step,charts/episodic_return_mean,charts/episodic_return_mean_eval,track,method,experiment
819200,4.722222328186035,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
835584,4.515151500701904,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
851968,4.878787994384766,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
868352,4.733727931976318,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
884736,4.957746505737305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
901120,4.930747985839844,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
917504,5.013927459716797,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
933888,4.929577350616455,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
950272,5.205882549285889,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
966656,5.109889984130859,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
983040,5.641790866851807,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
999424,5.239436626434326,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1015808,5.039577960968018,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1032192,4.9066667556762695,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1048576,4.6517415046691895,5.078125,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1064960,5.4155497550964355,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1081344,4.973684310913086,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1097728,5.335463047027588,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1114112,5.684523582458496,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1130496,5.09915018081665,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1146880,5.202311992645264,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1163264,4.873417854309082,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1179648,5.349462509155273,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1196032,5.546218395233154,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1212416,5.27439022064209,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1228800,5.532994747161865,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1245184,5.395480155944824,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1261568,5.095057010650635,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1277952,4.952681541442871,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1294336,5.287009239196777,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1310720,5.846153736114502,5.408560276031494,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1327104,5.522387981414795,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1343488,5.163636207580566,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1359872,5.65217399597168,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1376256,5.6957926750183105,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1392640,5.611510753631592,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1409024,5.588235378265381,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1425408,5.791666507720947,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1441792,5.059761047363281,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1458176,5.395683288574219,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1474560,5.510204315185547,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1490944,5.125,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1507328,5.875706195831299,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1523712,6.173469543457031,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1540096,6.223404407501221,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1556480,5.4938273429870605,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1572864,5.108225345611572,5.4296875,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1589248,5.477941036224365,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1605632,5.541666507720947,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1622016,5.541125774383545,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1638400,5.467289924621582,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1654784,5.8152174949646,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1671168,5.890410900115967,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1687552,5.983606338500977,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1703936,5.402843475341797,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1720320,5.276595592498779,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1736704,6.092436790466309,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1753088,5.363128662109375,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1769472,5.523255825042725,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1785856,5.599999904632568,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1802240,5.194805145263672,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1818624,5.406976699829102,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1835008,5.691056728363037,5.758754730224609,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1851392,5.039370059967041,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1867776,5.125,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1884160,5.5194807052612305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1900544,5.933014392852783,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1916928,6.148648738861084,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1933312,5.406976699829102,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1949696,5.348837375640869,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1966080,5.625,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1982464,6.092715263366699,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
1998848,5.7480316162109375,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2015232,5.705882549285889,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2031616,5.833333492279053,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2048000,5.524861812591553,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2064384,6.2874250411987305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2080768,5.699481964111328,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2097152,5.379310131072998,4.902723789215088,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2113536,5.666666507720947,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2129920,5.681818008422852,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2146304,6.462264060974121,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2162688,5.82781457901001,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2179072,5.620914936065674,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
